dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.5,8
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.55,11
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.6,18
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.65,53
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.7,nan
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.75,nan
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.8,nan
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.85,nan
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.9,nan
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.95,nan
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.05,1
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.1,1
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.15,2
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.2,2
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.25,2
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.3,3
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.35,3
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.4,5
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.45,5
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.5,8
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.55,11
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.6,18
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.65,42
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.7,nan
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.75,nan
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.8,nan
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.85,nan
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.9,nan
cifar100,shufflenetv2,16,adadelta,1e-1,2,0.95,nan
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.05,1
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.1,1
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.15,1
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.2,2
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.25,2
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.3,3
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.35,3
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.4,4
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.45,5
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.5,8
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.55,11
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.6,21
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.65,44
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.7,nan
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.75,nan
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.8,nan
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.85,nan
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.9,nan
cifar100,shufflenetv2,16,adadelta,1e-1,3,0.95,nan
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.05,1
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.1,1
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.15,2
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.2,2
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.25,2
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.3,3
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.35,3
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.4,4
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.45,6
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.5,8
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.55,11
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.6,19
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.65,37
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.7,nan
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.75,nan
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.8,nan
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.85,nan
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.9,nan
cifar100,shufflenetv2,16,adadelta,1e-1,4,0.95,nan
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.05,1
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.1,1
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.15,1
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.2,2
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.25,2
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.3,3
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.35,3
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.4,4
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.45,6
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.5,8
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.55,11
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.6,19
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.65,44
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.7,nan
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.75,nan
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.8,nan
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.85,nan
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.9,nan
