dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
librispeech,deepspeech2,2,adamw,250,42637.579999999994,155.6227989383956
librispeech,deepspeech2,24,adamw,100,9189.87,94.36234645938953
librispeech,deepspeech2,24,adamw,125,8051.049999999999,116.83686569869798
librispeech,deepspeech2,24,adamw,150,7636.42,132.13175096522383
librispeech,deepspeech2,24,adamw,175,7200.34,151.17850576802607
librispeech,deepspeech2,24,adamw,200,7028.35,171.9445003089169
librispeech,deepspeech2,24,adamw,225,6907.17,186.88313217369733
librispeech,deepspeech2,24,adamw,250,6813.839999999999,197.60911281557588
librispeech,deepspeech2,32,adamw,100,8225.55,94.67301363113666
librispeech,deepspeech2,32,adamw,125,7000.65,115.38758602645888
librispeech,deepspeech2,32,adamw,150,6680.36,129.5942745487544
librispeech,deepspeech2,32,adamw,175,6377.93,148.17922621818622
librispeech,deepspeech2,32,adamw,200,6156.5,168.92110280798124
librispeech,deepspeech2,32,adamw,225,5959.29,188.94674304218432
librispeech,deepspeech2,32,adamw,250,5888.389999999999,204.58579085910932
librispeech,deepspeech2,4,adamw,100,27730.04,94.32622145743807
librispeech,deepspeech2,4,adamw,125,26074.210000000003,114.83066451180285
librispeech,deepspeech2,4,adamw,150,25100.26,133.27390453871644
librispeech,deepspeech2,4,adamw,175,24483.14,146.75427871350092
librispeech,deepspeech2,4,adamw,200,24609.88,151.71050792457478
librispeech,deepspeech2,4,adamw,225,24334.98,158.1569979308626
librispeech,deepspeech2,4,adamw,250,24265.51,152.8969691806432
librispeech,deepspeech2,48,adamw,100,8077.360000000001,96.01782058527893
librispeech,deepspeech2,48,adamw,125,6740.63,113.02532328378761
librispeech,deepspeech2,48,adamw,150,6186.11,127.72441888951339
librispeech,deepspeech2,48,adamw,175,6028.15,140.23473743678971
librispeech,deepspeech2,48,adamw,200,5761.17,160.15901629267006
librispeech,deepspeech2,48,adamw,225,5554.46,181.1531357909703
librispeech,deepspeech2,48,adamw,250,5403.92,195.38068138515575
librispeech,deepspeech2,56,adamw,100,8139.51,89.44559666753034
librispeech,deepspeech2,56,adamw,125,6715.469999999999,111.80535291671796
librispeech,deepspeech2,56,adamw,150,6163.51,127.2289045546565
librispeech,deepspeech2,56,adamw,175,5975.58,138.8633349349274
